parent,child,role
CH2013-01-1262663,CH2015-01-0110269,sire
CH2013-01-12639322013,CH2015-01-0110269,dam
DV02098-09-1920,DV02098-17-1321,sire
DV02098-13-761,DV02098-17-1321,dam
DV02098-95-12,DV02098-09-1920,sire
DV02098-99-1000,DV02098-09-1920,dam
DV02098-06-321,DV02098-13-761,sire
DV02098-04-1600,DV02098-13-761,dam
NL02-1842852,DV2736-07-348,sire
DV2736-03-0155,DV2736-07-348,dam
NL91-2511422,NL02-1842852,sire
NL91-2511460,NL02-1842852,dam
DV8978-00-1366,DV2736-03-0155,sire
DV8978-00-0514,DV2736-03-0155,dam
B12-1505651,B18-1089308,sire
B13-1508773,B18-1089308,dam
B17-1126423,B18-1089307,sire
B11-1032999,B18-1147465,dam
B06-1058428,B11-1032999,sire
B08-1013085,B11-1032999,dam
DV02098-09-1900,DV02098-16-1233,sire
B10-6308948,DV02098-16-1233,dam
B02-6183124,B08-6364023,sire
B03-6108015,B08-6364023,dam
B14-6072343,B16-6023119,sire
NL13-1314004,B15-6100759,sire
B12-6321502,B15-6100759,dam
B05-3224570,NL13-1314004,sire
B06-5115199,NL13-1314004,dam
B07-6399396,B12-6321502,sire
B07-6369527,B12-6321502,dam
B11-6289679,B16-6031558,sire
B12-6225774,B16-6031558,dam
B07-4373192,B11-6289679,sire
B06-6185492,B11-6289679,dam
B07-6140197,B12-6225774,sire
B06-6185454,B12-6225774,dam
B09-6240842,B16-6031724,sire
B14-6265814,B16-6031724,dam
B04-6208161,B09-6240842,sire
B02-6051655,B09-6240842,dam
B05-6306292,B14-6265814,sire
B06-6185492,B14-6265814,dam
B14-3157319,NL18-1540443,sire
B11-3170548,NL18-1540443,dam
B12-3088052,B14-3157319,sire
B13-3159401,B14-3157319,dam
B06-3008003,B11-3170548,sire
B09-3188087,B11-3170548,dam
B05-3176580,B13-3159303,sire
B07-3199953,B13-3159303,dam
B01-3116171,B05-3176580,sire
B99-3103770,B05-3176580,dam
B05-4082656,B07-3199953,sire
B04-3069721,B07-3199953,dam
DV7552-09-146,DV07552-12-18,sire
B93-6126917,B00-6178617,sire
B94-6336085,B00-6178617,dam
B93-6126917,B01-6135405,sire
B99-6381195,B00-61748544,sire
B99-5268081,B00-61748544,dam
B91-6680124,B97-6600148,sire
B93-6631866,B97-6600148,dam
B94-6434172,B04-6467380,sire
B97-6270413,B04-6467380,dam
B97-6162340,B01-6135286,sire
B97-6162118,B01-6135286,dam
B04-6458871,CHN2012-01-757108,sire
B04-6458802,CHN2012-01-757108,dam
B04-6458802,CHN2012-01-802593,dam
B08-3192649,B12-3162673,dam
B01-3003333,B08-3192649,sire
B13-2053471,CHN2018-05-0916685,dam
B06-3008003,B11-3077180,sire
B07-3199953,B11-3077180,dam
B98-3158062,B06-3008003,sire
B00-3195099,B06-3008003,dam
CHN2009-01-168006,CHN2010-01-179888,dam
B08-6245034,B11-3171570,dam
B02-6121605,B08-6245034,dam
CHN2008-01-222736,CHN2014-01-113377,sire
B05-3224545,CHN2016-01-1228687,sire
B2012-3088157,CHN2016-01-1228687,dam
BE98-3158062,B05-3224545,sire
B03-6381698,B05-3224545,dam
B06-3008003,B2012-3088157,sire
B10-3047071,B2012-3088157,dam
B05-3224545,CHN2014-01-1053061,sire
BE06-3008403,CHN2014-01-1053061,dam
B98-3158062,B05-3224545,sire
BE00-3200602,BE06-3008403,sire
B04-3069722,BE06-3008403,dam
B05-3224546,CHN2006-01-601690,sire
B05-6336791,CHN2006-01-601690,dam
B98-3158062,B05-3224546,sire
B03-6381698,B05-3224546,dam
B95-6246005,B05-6336791,sire
B96-6523333,B05-6336791,dam
B87-6337209,NL98-2591142,sire
B96-6376189,NL98-2591142,dam
B73-6736019,B87-6337209,sire
B85-6377502,B87-6337209,dam
B94-6261242,B96-6376189,sire
B91-6680418,B96-6376189,dam
B87-6337209,NL98-2591219,sire
B97-6330063,NL98-2591219,dam
B89-6727919,B97-6330063,sire
B91-6227401,B97-6330063,dam
B87-6337209,NL98-2591261,sire
B96-6598453,NL98-2591261,dam
B93-6677331,B96-6598453,sire
B89-6150135,B96-6598453,dam
B98-5075161,B2006-5054807,sire
B04-5026397,B2006-5054807,dam
B93-5139333,B98-5075161,sire
B93-5314244,B98-5075161,dam
B01-6182211,B04-5026397,sire
B03-5071209,B04-5026397,dam
B88-3206112,B2000-3076208,sire
B93-3354339,B2000-3076208,dam
B81-3238253,B88-3206112,sire
B87-3008002,B88-3206112,dam
B88-3389798,B93-3354339,sire
B86-3298661,B93-3354339,dam
B93-6621023,B95-6246005,sire
B90-6652120,B95-6246005,dam
B88-6240603,B96-6286052,sire
B89-6202092,B96-6286052,dam
NL95-2461769,CHN03-01-489273,sire
NL98-2223197,CHN03-01-489273,dam
DV03145-10-16,DV03145-13-760,sire
DV03145-11-61,DV03145-13-760,dam
DV02098-03-1105,DV03145-10-16,sire
DV02098-02-525,DV03145-11-61,sire
DV02098-07-216,DV03145-11-61,dam
B94-6495178,B2008-6245088,sire
B94-6495178,B2008-6245247,sire
B05-6221288,B2008-6245247,dam
B02-6121579,B05-6221288,sire
B01-6153558,B05-6221288,dam
B94-6495178,B2007-6110358,sire
B03-6095358,B2008-6340451,sire
B05-6170855,B2008-6340451,dam
B95-6189656,B03-6095358,sire
B93-6499550,B03-6095358,dam
B97-6420763,B05-6170855,sire
B00-6254332,B05-6170855,dam
NL99-1870924,NL07-1369326,sire
NL06-1762248,NL07-1369326,dam
B11-6265441,B2013-6082168,dam
B94-6495178,B2008-6245010,sire
B06-6154774,B2008-6245010,dam
B99-6151734,B06-6154774,sire
B01-6153558,B06-6154774,dam
B94-6495178,B2007-6110211,sire
B94-6495178,B2005-6221158,sire
B04-6231798,B2005-6221158,dam
B94-6495178,B04-6231798,sire
B01-6153998,B04-6231798,dam
B95-6246005,B2004-6095825,sire
B01-6527916,B2004-6095825,dam
B99-6547901,B01-6527916,sire
B00-6145017,B01-6527916,dam
NL04-0450098,NL2009-3932416,sire
NL07-5720785,NL2009-3932416,dam
NL96-9618799,NL04-0450098,sire
NL01-2433938,NL04-0450098,dam
NL04-2198731,NL07-5720785,sire
NL01-0181176,NL07-5720785,dam
NL04-0450098,NL2011-3001379,sire
NL04-0450101,NL2011-3001379,dam
NL96-2672994,NL04-0450101,sire
NL98-9880970,NL04-0450101,dam
B11-6265441,B2013-6082175,dam
B95-6246005,B2005-6332258,sire
B05-5103576,B06-5110259,sire
B04-5218457,B06-5110259,dam
B02-5248123,B05-5103576,sire
B04-5218460,B05-5103576,dam
B02-5248123,B04-5218457,sire
B99-5033659,B04-5218457,dam
B2000-2117091,B05-2143244,dam
B1990-2553359,B2000-2117091,sire
B1998-2061202,B2000-2117091,dam
B94-6495178,B2005-6220316,sire
B87-6337209,NL2000-2153395,sire
B96-6598453,NL2000-2153395,dam
NL97-1729993,NL07-1962465,sire
NL04-2211115,NL07-1962465,dam
NL94-1573603,NL97-1729993,sire
NL89-5925374,NL97-1729993,dam
NL97-9780880,NL04-2211115,sire
NL97-9780882,NL04-2211115,dam
B15-2039994,B19-2149117,sire
B14-6072358,B15-2039994,sire
BE08-4216084,B14-4057121,sire
BE10-4128077,B14-4057121,dam
BE07-4216994,BE08-4216084,sire
BE07-4372474,BE08-4216084,dam
BE08-4359197,BE10-4128077,sire
BE09-6128352,BE10-4128077,dam
NL2006-2162254,NL10-1674744,sire
NL2007-1817907,NL10-1674744,dam
NL2003-1135318,NL2006-2162254,sire
NL2003-1135462,NL2006-2162254,dam
NL2003-1103686,NL2007-1817907,sire
NL2004-2050252,NL2007-1817907,dam
B09-3095111,B14-3168269,sire
B10-3047084,B14-3168269,dam
B99-3199708,B09-3095111,sire
B07-4361085,B09-3095111,dam
B99-3199708,B10-3047084,sire
B04-3230881,B10-3047084,dam
NL07-1180364,NL19-1798518,sire
NL13-1339817,NL19-1798518,dam
NL03-1702949,NL07-1180364,sire
NL05-1909331,NL07-1180364,dam
NL07-1817999,NL13-1339817,sire
NL02-1635264,NL13-1339817,dam
BE02-3255937,B16-3084976,sire
BELG1998-3158062,BE02-3255937,sire
NL03-5301101,NL10-1692316,sire
NL04-2061507,NL10-1692316,dam
NL99-4300680,NL03-5301101,sire
NL00-1956090,NL03-5301101,dam
NL2000-2148049,NL11-1732951,sire
NL2007-1817969,NL11-1732951,dam
NL2003-1103686,NL2007-1817969,sire
NL2004-2050252,NL2007-1817969,dam
B99-6143621,B05-6163027,sire
B97-6165578,B05-6163027,dam
B94-6214211,B99-6143621,sire
B98-62140407,B99-6143621,dam
B82-6380170,B97-6165578,sire
B87-2297197,B97-6165578,dam
B99-6143668,B12-6232831,sire
B02-6509064,B12-6232831,dam
B92-6673402,B99-6143668,sire
B97-6569500,B99-6143668,dam
B94-6214211,B02-6509064,sire
B98-6594049,B02-6509064,dam
B04-6293191,B11-6219623,sire
B06-6056065,B11-6219623,dam
B94-6241201,B04-6293191,sire
B90-630670,B04-6293191,dam
B00-6553131,B06-6056065,sire
B03-6485765,B06-6056065,dam
B03-3003335,B10-3179206,sire
B01-3031007,B03-3003335,sire
B00-3076245,B03-3003335,dam
B08-6383049,B13-6284819,sire
B08-6383041,B13-6284819,dam
B01-6345101,B08-6383049,sire
B97-6421504,B08-6383049,dam
B02-6183100,B08-6383041,sire
B00-6480541,B08-6383041,dam
B11-6119113,B12-6023338,sire
B11-6119152,B12-6023338,dam
B10-6031799,B11-6119113,sire
BE10-6163736,B11-6119152,sire
B08-6177699,B11-6119152,dam
CHN07-09-425140,CHN2008-09-360007,sire
CHN04-09-27261604,CHN2008-09-360007,dam
CHN00-10-02009500,CHN07-09-425140,sire
CHN00-10-0202279,CHN07-09-425140,dam
NL96-2204410,CHN04-09-27261604,sire
NL96-1737675,CHN04-09-27261604,dam
NL01-2069833,NL12-1742608,sire
NL05-1554549,NL12-1742608,dam
NL94-1651477,NL01-2069833,sire
NL80-632953,NL01-2069833,dam
NL04-2209938,NL05-1554549,sire
NL03-1301744,NL05-1554549,dam
NL04-1425561,NL09-1709989,sire
NL04-5435669,NL09-1709989,dam
NL96-1474648,NL04-1425561,sire
NL98-1983068,NL04-1425561,dam
NL03-5340519,NL04-5435669,sire
NL03-1773737,NL04-5435669,dam
NL07-1126882,B12-6239485,sire
B11-2178324,B12-6239485,dam
NL06-4281744,NL07-1126882,sire
NL06-4281758,NL07-1126882,dam
B01-6455003,B11-2178324,sire
B10-2148872,B11-2178324,dam
B07-4216926,BELG2008-3109178,sire
B05-3013188,BELG2008-3109178,dam
B04-4138973,B07-4216926,sire
B00-4245501,B07-4216926,dam
B03-3237719,B05-3013188,sire
B01-5027540,B05-3013188,dam
B99-3222438,B03-3237719,sire
B97-3294175,B03-3237719,dam
B90-5328322,B01-5027540,sire
B98-5201208,B01-5027540,dam
NL06-1078529,NL2007-1143811,sire
B06-4008826,NL2007-1143811,dam
NL03-5301441,NL06-1078529,sire
NL98-5870048,NL06-1078529,dam
NL08-5818820,NL12-1389526,sire
NL11-1503486,NL12-1389526,dam
NL04-1432243,NL08-5818820,sire
B06-6410633,NL08-5818820,dam
B09-6370126,NL11-1503486,sire
NL10-1164534,NL11-1503486,dam
NL89-0542332,CHN02-10-761411,sire
NL89-0542331,CHN02-10-761411,dam
CHN02-10-049055,CHN05-10-025702,dam
NL01-1426424,CHN2004-01-535076,sire
BE10-2209198,B2013-2092286,sire
BE12-2067116,B2013-2092286,dam
BE06-2232516,BE10-2209198,sire
BE04-2132303,BE10-2209198,dam
NL08-1683616,NL2012-1742037,sire
NL08-1683712,NL2012-1742037,dam
NL04-2209957,NL08-1683616,sire
NL01-2069845,NL08-1683616,dam
NL01-2069569,NL08-1683712,sire
NL02-1810029,NL08-1683712,dam
CHN05-01-507487,CHN2009-01-701356,sire
B10-3136080,B11-3171870,dam
B08-3193835,B10-3136080,sire
B08-3109017,B10-3136080,dam
NL01-5150212,NL2007-1143821,sire
B06-4008828,NL2007-1143821,dam
NL96-8005840,NL01-5150212,sire
NL90-2456019,NL01-5150212,dam
CHN07-01-263492,CHN2009-01-007589,sire
CHN08-01-452224,CHN2009-01-007589,dam
B09-2224193,BELG2012-2069755,sire
B09-2229887,BELG2012-2069755,dam
B03-2148665,B09-2224193,sire
B02-2158259,B09-2224193,dam
B04-2132439,B09-2229887,sire
B04-2132483,B09-2229887,dam
B11-3082070,B12-3170650,sire
B11-3082028,B12-3170650,dam
B10-3136064,B11-3082070,sire
B08-3109029,B11-3082070,dam
B08-3109019,B11-3082028,sire
B10-3136020,B11-3082028,dam
B07-2232942,BELG2012-2067376,sire
B08-2186619,BELG2012-2067376,dam
B04-2132439,B07-2232942,sire
B03-2148605,B07-2232942,dam
NL06-1590143,B08-2186619,sire
B04-2132302,B08-2186619,dam
C06-10-145308,CHN07-10-094144,sire
C04-10-068680,CHN07-10-094144,dam
NL08-1684073,NL12-1742535,sire
NL08-1683681,NL12-1742535,dam
NL02-1810225,NL08-1684073,sire
NL98-1408289,NL08-1684073,dam
NL01-2069869,NL08-1683681,sire
NL04-2209735,NL08-1683681,dam
CHN2001-01-113951,CHN2009-01-539702,dam
DV08833-96-174,CHN03-252131,sire
T00-096393,CHN03-252131,dam
CHN00-308859,CHN01-01-113951,dam
CHN08-09-013193,CHN11-01-212929,sire
CHN08-09-592896,CHN11-01-212929,dam
CHN2001-01-113951,CHN2009-01-218254,dam
CHN03-252131,CHN2007-01-263494,sire
CHN01-01-113951,CHN2007-01-263494,dam
DV08833-96-1741372,CHN03-252131,sire
B10-3136064,B11-3171867,sire
B10-3136038,B11-3171867,dam
B07-3107133,B10-3136064,sire
B05-3105071,B10-3136064,dam
B09-3110052,B10-3136038,sire
B09-3110064,B10-3136038,dam
CHN03-252131,CHN2007-01-263495,sire
CHN01-01-113951,CHN2007-01-263495,dam
B09-3110073,B11-3082067,sire
B05-3000818,B11-3082067,dam
BE07-3107133,B09-3110073,sire
B05-3105071,B09-3110073,dam
B03-3103179,B05-3000818,sire
B07-3107056,B10-3136137,sire
B09-3110051,B10-3136137,dam
B06-3107115,B07-3107056,sire
B02-3056128,B07-3107056,dam
B03-3103164,B09-3110051,sire
B08-3049817,B09-3110051,dam
NL02-4763096,CHN2007-01-474663,dam
B11-3082030,B12-3170647,sire
B11-3082013,B12-3170647,dam
B10-3136064,B11-3082030,sire
B08-3109029,B11-3082030,dam
B10-3136019,B11-3082013,sire
B09-3110074,B11-3082013,dam
NL02-4763096,CHN2007-01-474662,dam
