img_id,father,mother,pgf,pgm,mgf,mgm
325820,,,,,,
325811,,,,,,
325685,,,,,,
325683,,,,,,
445813,,,,,,
325814,,,,,,
325684,,,,,,
325804,,,,,,
325687,,,,,,
325682,,,,,,
325818,,,,,,
325677,,,,,,
325872,,,,,,
325676,,,,,,
325673,,,,,,
325672,,,,,,
325669,,,,,,
325664,,,,,,
325826,,,,,,
325836,,,,,,
325838,,,,,,
325840,,,,,,
325842,,,,,,
665016,,,,,,
665015,,,,,,
665014,,,,,,
665013,,,,,,
627880,,,,,,
631588,,,,,,
631587,,,,,,
631586,,,,,,
627881,,,,,,
622414,,,,,,
622413,,,,,,
622412,,,,,,
485345,,,,,,
485346,,,,,,
485344,,,,,,
488995,,,,,,
485350,,,,,,
485347,,,,,,
448550,,,,,,
448549,,,,,,
448548,,,,,,
448547,,,,,,
447001,,,,,,
440726,,,,,,
440517,,,,,,
440515,,,,,,
440512,,,,,,
440504,,,,,,
405216,,,,,,
342459,,,,,,
332819,,,,,,
104237,,,,,,
222395,,,,,,
220930,,,,,,
324130,,,,,,
219140,,,,,,
219062,,,,,,
180347,,,,,,
538079,,,,,,
219526,,,,,,
268034,,,,,,
222861,,,,,,
223277,,,,,,
178611,,,,,,
491388,,,,,,
178860,,,,,,
142747,,,,,,
143621,,,,,,
179438,,,,,,
241619,,,,,,
178930,,,,,,
87079,,,,,,
247235,,,,,,
219685,,,,,,
178355,,,,,,
143844,,,,,,
178825,,,,,,
6325,,,,,,
86726,,,,,,
86921,,,,,,
86872,,,,,,
221783,,,,,,
10779,,,,,,
29791,,,,,,
1825,,,,,,
176416,,,,,,
19707,,,,,,
1823,,,,,,
60252,,,,,,
31696,,,,,,
31261,,,,,,
31845,,,,,,
1815,,,,,,
21681,,,,T97-293265,,
1818,,,,,,
1824,,,,,,
1816,,,,,,
20139,,,,,,
5684,,,,,,
15793,,,,,,
15798,,,,,,
18710,,,,,,
88966,,,,,,
88971,,,,,,
15939,,,,,,
321245,,,,,,
420641,,,,,,
421146,,,,,,
437341,,,,,,
421540,,,,,,
22307,,,,,,
10775,,,,,,
10771,,,,,,
176026,,,,,,
438345,,,,,,
443575,,,,,,
10777,,,,,,
10769,,,,,,
10770,,,,,,
176028,,,,,,
491167,,,,,,
58878,,,,,,
425825,,,,,,
10768,,,,,,
10773,,,,,,
87475,,,,,,
438137,,,,,,
429146,,,,,,
428969,,,,,,
428586,,,,,,
428152,,,,,,
427715,,,,,,
427504,,,,,,
427320,,,,,,
427124,,,,,,
427058,,,,,,
426825,,,,,,
426751,,,,,,
426522,,,,,,
426311,,,,,,
425906,,,,,,
425863,,,,,,
425667,,,,,,
423302,,,,,,
87945,,,,,,
8437,,,,,,
87745,,,,,,
87798,,,,,,
247782,,,,,,
653851,,,,,,
653530,DV02098-09-1920,DV02098-13-761,DV02098-95-12,DV02098-99-1000,DV02098-06-321,DV02098-04-1600
640005,,,,,,
618627,,,,,,
618626,NL02-1842852,DV2736-03-0155,NL91-2511422,NL91-2511460,DV8978-00-1366,DV8978-00-0514
616927,,,,,,
616926,,,,,,
653852,,,,,,
653844,,,,,,
640006,,,,,,
616948,,,,,,
616917,,,,,,
616916,,,,,,
678453,B12-1505651,B13-1508773,,,,
678452,B17-1126423,,,,,
678411,,,,,,
659122,,,,,,
653850,,,,,,
653849,,,,,,
653846,,,,,,
653532,,B11-1032999,,B08-1054623,B06-1058428,B08-1013085
653531,DV02098-09-1900,B10-6308948,DV02098-95-12,,B04-6105159,B06-6401339
653521,,,,,,
653520,,,,,,
641692,,,,,,
641690,B08-6364023,B16-6023119,B02-6183124,B03-6108015,B14-6072343,
641688,NL13-1314004,B12-6321502,B05-3224570,B06-5115199,B07-6399396,B07-6369527
641687,B11-6289679,B12-6225774,B07-4373192,B06-6185492,B07-6140197,B06-6185454
641684,B09-6240842,B14-6265814,B04-6208161,B02-6051655,B05-6306292,B06-6185492
641677,,,B05-4045246,B05-4045303,,B05-4045263
641674,B14-3157319,B11-3170548,B12-3088052,B13-3159401,B06-3008003,B09-3188087
641673,B05-3176580,B07-3199953,B01-3116171,B99-3103770,B05-4082656,B04-3069721
640004,,,,,,
629054,,,,,,
629053,,,,,,
628853,,,,,,
628852,,,,,,
619437,,,,,,
619197,,,,,,
619196,,,,,,
619194,,,,,,
619193,,,,,,
619192,,,,,,
619191,,,,,,
619190,,,,,,
619189,,,,,,
619188,,,,,,
619187,,,,,,
619186,,,,,,
619185,,,,,,
619184,,,,,,
619183,,,,,,
619182,,,,,,
619181,,,,,,
619180,,,,,,
619179,,,,,,
618625,,,,,,
618619,,,,,,
618618,,,NL07-1836614,NL01-1898189,,
618465,,,,,,
618464,,,,,,
618463,,,,,,
618462,,,,,,
618461,,,,,,
618460,,,,,,
618459,,,,,,
618448,,,,,,
618447,,,,,,
618432,,,,,,
618128,,,,,,
618127,,,,,,
618126,,,,,,
618066,,,,,,
618065,,,,,,
618064,,,,,,
618063,,,,,,
618062,,,,,,
618061,,,,,,
618059,,,,,,
618058,,,,,,
618011,,,,,,
618010,,,,,,
616947,DV7552-09-146,,,,DV00272-05-448,DV07552-08-430
616946,DV7552-09-146,,,,DV00272-05-448,DV07552-08-430
616945,,,,,,
616943,,,,,,
616942,,,,,,
616941,,,,,,
616940,,,,,,
616939,,,,,,
616938,,,,,,
616937,,,,,,
616936,,,,,,
616935,,,,,,
616934,,,,,,
616933,,,,,,
616932,,,,,,
616931,,,,,,
616930,,,,,,
616929,,,,,,
616925,,,,,,
616924,,,,,,
616923,,,,,,
616922,,,,,,
616921,,,,,,
616920,,,,,,
616915,,,,,,
616914,,,,,,
616913,,,,,,
616912,,,,,,
616911,,,,,,
616910,,,,,,
616909,,,,,,
616908,,,,,,
616907,,,,,,
418944,,,,,,
414533,,,,,,
344128,,,,,,
344109,,,,,,
291463,,,,,,
291458,,,,,,
223645,,,,,,
641250,,,,,,
414527,,,,,,
344166,,,,,,
344124,,,,,,
344102,,,,,,
223629,,,,,,
641253,,,,,,
414208,,,,,,
414205,,,,,,
416700,,,,,,
344172,,,,,,
291459,,,,,,
641252,,,,,,
641248,,,,,,
414520,,,,,,
416699,,,,,,
344174,,,,,,
344125,,,,,,
223615,,,,,,
641249,,,,,,
641242,,,,,,
414536,,,,,,
416696,,,,,,
344184,,,,,,
344118,,,,,,
344114,,,,,,
641455,,,,,,
641247,,,,,,
419124,,,,,,
416718,,,,,,
416695,,,,,,
416687,,,,,,
641457,,,,,,
641454,,,,,,
641241,,,,,,
419123,,,,,,
416691,,,,,,
416686,,,,,,
641456,,,,,,
641276,,,,,,
641244,,,,,,
416684,,,,,,
344142,,,,,,
641272,,,,,,
641243,,,,,,
528096,,,,,,
416706,,,,,,
416685,,,,,,
641268,,,,,,
641240,,,,,,
416751,,,,,,
416701,,,,,,
416682,,,,,,
641264,,,,,,
416725,,,,,,
416680,,,,,,
347326,,,,,,
641275,,,,,,
416720,,,,,,
416677,,,,,,
344096,,,,,,
641429,,,,,,
641265,,,,,,
416715,,,,,,
344099,,,,,,
641426,,,,,,
641277,,,,,,
641421,,,,,,
641273,,,,,,
641416,,,,,,
641271,,,,,,
641415,,,,,,
641267,,,,,,
641427,,,,,,
641259,,,,,,
641422,,,,,,
641262,,,,,,
223838,,,,,,
641425,,,,,,
641261,,,,,,
641420,,,,,,
641274,,,,,,
641411,,,,,,
641412,,,,,,
641430,,,,,,
641428,,,,,,
641417,,,,,,
641413,,,,,,
641424,,,,,,
641423,,,,,,
641419,,,,,,
641418,,,,,,
641414,,,,,,
672082,,,,,,
672081,,,,,,
672080,,,,,,
672079,,,,,,
672076,,,,,,
672075,,,,,,
671204,,,,,,
671203,,,,,,
671202,,,,,,
671201,,,,,,
671199,,,,,,
671198,,,,,,
671197,,,,,,
671196,,,,,,
671195,,,,,,
671194,,,,,,
671193,,,,,,
671192,,,,,,
671191,,,,,,
641453,,,,,,
641452,,,,,,
641451,,,,,,
641450,,,,,,
641449,,,,,,
641448,,,,,,
641447,,,,,,
641446,,,,,,
641445,,,,,,
641444,,,,,,
641443,,,,,,
641442,,,,,,
641441,,,,,,
641440,,,,,,
641439,,,,,,
641438,,,,,,
641437,,,,,,
641436,,,,,,
416707,,,,,,
580713,,,,,,
580714,,,,,,
580717,,,,,,
580716,,,,,,
580712,,,,,,
580711,,,,,,
580710,,,,,,
580709,,,,,,
580708,,,,,,
580706,,,,,,
580705,,,,,,
580704,,,,,,
573567,,,,,,
573566,,,,,,
573565,,,,,,
530133,,,,,,
530132,,,,,,
530051,,,,,,
530050,,,,,,
530049,,,,,,
530048,,,,,,
530047,,,,,,
494363,,,,,,
479550,,,,,,
479458,,,,,,
479455,,,,,,
479454,,,,,,
479413,,,,,,
478179,,,,,,
478178,,,,,,
478177,,,,,,
478176,,,,,,
478175,,,,,,
478174,,,,,,
478173,,,,,,
478172,,,,,,
478171,,,,,,
478170,,,,,,
476997,,,,,,
475789,,,,,,
475786,,,,,,
473574,,,,,,
473573,,,,,,
473570,,,,,,
473568,,,,,,
473567,,,,,,
473566,,,,,,
473564,,,,,,
473563,,,,,,
473562,,,,,,
444391,,,,,,
444389,,,,,,
444386,,,,,,
444383,,,,,,
440964,,,,,,
440962,,,,,,
413967,,,,,,
413964,,,,,,
413962,,,,,,
412352,,,,,,
409415,,,,,,
402928,,,,,,
402903,,,,,,
402821,,,,,,
402594,,,,,,
402438,,,,,,
402415,,,,,,
402413,,,B90-5335977,B95-5111447,B92-5040349,B91-5050157
402411,,,B83-6466079,B87-6337256,B93-6440331,B95-6274331
402410,,,B89-6150123,B91-6680418,B94-6261276,B91-6680491
402409,,,,,,
402408,,,B85-6375574,B91-6231345,B92-6579550,B91-6231345
402406,,,B99-6030512,B96-6379899,B96-6379868,B99-6030661
395823,,,,,,
395591,,,,,,
387334,B00-6178617,B01-6135405,B93-6126917,B94-6336085,B93-6126917,
387217,AU04,B00-61748544,B01-6135286,B00-61748544,B99-6381195,B99-5268081
385932,BELG98-3158062,,,,,
385849,B97-6600148,B04-6467380,B91-6680124,B93-6631866,B94-6434172,B97-6270413
385846,,,,,B90-5335977,B97-5204431
395601,,,,,,
395593,,,,,,
395585,,,,,,
395580,,,,,,
395603,,,,,,
395595,,,,,,
395586,,,,,,
395581,,,,,,
395587,,,,,,
395597,,,,,,
395594,,,,,,
413133,B97-6600148,B04-6467380,B91-6680124,B93-6631866,B94-6434172,B97-6270413
426154,,,,,,
426168,,,,,,
426165,,,,,,
426162,BELG2003-6257240,B03-2184303,,,,
426156,,,,,,
395830,,,B1997-6145011,,B2002-6058048,B2001-6387159
395828,,,,,,
395827,,,,,,
395824,,,,,,
395616,,,,,,
395615,,,,,,
395605,,,,,,
395604,,,,,,
