img_id,ancestor,contribution
138147,B94-6495178,0.5
138927,CHN09-09-003329,0.5
139146,B07-5080068,0.5
139146,B1999-5091084,0.25
139146,B2001-5010600,0.25
139146,B01-6182211,0.5
139146,B98-5296409,0.25
139146,B97-6523459,0.25
139638,NL2001-5150429,0.5
139638,B2002-3025836,0.5
140335,NL08-1392287,0.5
140335,NL06-2101045,0.25
140335,NL95-2123024,0.25
140335,NL08-3821982,0.5
140335,NL05-0547397,0.25
140335,NL04-0428849,0.125
140335,NL03-0375941,0.25
140335,NL02-0271883,0.125
140335,NL99-9964496,0.0625
140335,NL93-1125375,0.0625
140335,NL94-9410369,0.125
140448,B04-6293166,0.5
140448,B97-6592486,0.25
140448,B95-6274342,0.25
140448,B04-6293181,0.5
140448,B99-6559757,0.25
140448,B99-6265183,0.25
140494,B05-6166491,0.5
140494,B01-6255457,0.25
140494,B99-6143597,0.25
140622,B02-6091917,0.5
140622,B98-6590496,0.25
140622,B90-6277377,0.25
140622,B98-6210377,0.5
140622,B96-6307261,0.25
140622,B92-6074700,0.25
141616,B06-5197847,0.5
141616,B02-5242919,0.25
141616,B03-5067262,0.25
141616,B06-5205018,0.5
141616,B99-5165173,0.25
141616,B03-5067089,0.25
141819,NL00-4728204,0.5
141819,B96-6286060,0.25
141819,NL98-5821416,0.25
141819,NL00-1211116,0.5
141819,NL93-1768700,0.25
141819,NL98-5821415,0.25
142096,B09-2026913,0.5
142096,B08-2197688,0.25
142096,B00-4065848,0.25
142098,B09-2119419,0.5
142098,B00-2038018,0.25
142098,B05-41604430,0.25
142098,B09-2119437,0.5
142098,B03-2059619,0.25
142098,B03-4290095,0.25
142137,B06-3008013,0.5
142137,B99-3103770,0.25
142137,B98-3158062,0.25
142183,B05-2044100,0.5
142183,B98-6593439,0.25
142183,NL03-1731796,0.25
142183,NL05-1936565,0.5
142183,B98-4184712,0.375
142183,B99-4393519,0.25
142183,B94-4407032,0.125
142213,B01-3031005,0.5
142213,B96-3156104,0.25
142213,B91-3204220,0.125
142213,B90-3119120,0.125
142213,B88-3206112,0.25
142213,B87-3008002,0.125
142213,B81-3238253,0.125
142213,B06-3008003,0.5
142213,B00-3195099,0.25
142213,B95-3185530,0.125
142213,B93-3051184,0.125
142213,B98-3158062,0.25
142481,CHN08-10-589543,0.5
142481,CHN09-10-573932,0.5
142483,CHN08-12-215889,0.5
142483,CHN02-10-600606,0.5
142912,B07-6110331,0.5
142912,B03-6226167,0.25
142912,B00-6272030,0.25
142912,B04-6231763178,0.5
142912,B01-6153558,0.25
142912,B94-6495178,0.25
142914,B05-6221288,0.5
142914,B01-6153558,0.25
142914,B02-6121579,0.25
142914,B07-6110234,0.5
142914,B95-036,0.25
142914,B03-6226034,0.125
142916,B05-6221281,0.5
142916,B01-6153558,0.25
142916,B03-6226043,0.25
142916,B97-6362091,0.125
142916,B99-6151734,0.125
142916,B00-6272299,0.5
142916,B96-6307033,0.25
142916,B97-6362086,0.25
142917,B06-6154673,0.5
142917,B03-6226167,0.25
142917,B00-6272030,0.25
142917,B04-6231730,0.5
142917,B02-6121573,0.25
142917,B02-4479161,0.25
142917,B95-4148210,0.125
142917,B97-4263065,0.125
143111,CHN01-01-113951,0.5
143111,CHN00-308859,0.25
143111,CHN03-252131,0.5
143111,T00-096393,0.25
143111,DV08833-96-1741372,0.25
143115,CHN2001-01-113951,0.5
143398,CHN01-01-113951,0.5
143398,CHN00-308859,0.25
143398,CHN03-252131,0.5
143398,T00-096393,0.25
143398,DV08833-96-1741372,0.25
143400,CHN01-01-113951,0.5
143400,CHN00-308859,0.25
143400,CHN03-252131,0.5
143400,T00-096393,0.25
143400,DV08833-96-1741372,0.25
143403,CHN01-01-113951,0.5
143403,CHN00-308859,0.25
143403,CHN03-252131,0.5
143403,T00-096393,0.25
143403,DV08833-96-1741372,0.25
143463,CHN08-12-215889,0.5
143463,CHN02-10-600606,0.5
143497,NL02-4763096,0.5
143856,B07-6076301,0.5
143856,B00-6156147,0.25
143856,B00-6156179,0.25
143856,B09-6222914,0.5
143856,B05-6168668,0.25
143856,B97-6206715,0.125
143856,B02-6092827,0.125
143856,B02-6092673,0.25
143856,B97-6364092,0.125
143856,B96-6223435,0.125
144375,NL00-1487185,0.5
144375,NL02-2259429,0.25
144375,NL04-1299432,0.25
144375,NL99-2514000,0.5
144375,NL00-1101692,0.25
144375,NL03-1631575,0.25
144690,NL00-1398682,0.5
144690,NL99-5963281,0.25
144690,NL96-1722231,0.25
144835,NL05-1394730,0.5
144835,NL04-2050258,0.5
145097,NL2010-1681846,0.5
145097,NL2008-1537225,0.25
145097,NL2001-1886692,0.1875
145097,NL2002-1635193,0.125
145097,NL1993-2696113,0.0625
145097,NL2005-1441789,0.25
145097,NL1999-2411769,0.125
145097,NL1999-2411761,0.125
145097,NL2013-1239756,0.5
145097,NL2009-1186403,0.25
145097,NL2004-2050252,0.125
145097,NL2010-1682105,0.25
145097,NL2006-4720774,0.125
145097,NL2000-5063949,0.0625
145097,NL2004-5430805,0.0625
145097,NL2003-1103686,0.125
145561,NL2007-1129401,0.5
145561,NL2002-2173592,0.25
145561,NL2000-5063949,0.125
145561,NL1998-5821416,0.125
145561,NL1997-5700531,0.25
145561,NL1996-1434375,0.125
145561,NL1987-1055610,0.125
145561,B2008-6340442,0.5
145962,B06-2082050,0.5
145962,B92-2198165,0.25
145962,B91-6437358,0.125
145962,B83-2350199,0.125
145962,B01-1439889,0.5
145962,B88-2563607,0.25
145962,B93-1979344,0.25
147661,B05-6198745,0.5
147661,B91-6227456,0.25
147661,B92-6162746,0.25
148515,NL07-5713947,0.5
148515,NL05-5510010,0.25
148515,NL06-5616956,0.25
148515,NL05-5510059,0.5
148515,NL02-1472705,0.25
148515,NL99-5949561,0.25
148515,NL93-2437240,0.125
148515,NL93-5366432,0.125
148528,C96-479409,0.5
148528,B85-6379890,0.25
148528,C91-1227424,0.25
