img_id,ring,code,source
613800,,,empty
613806,CHN2016-06-0539297,,fallback
613808,B2011-6140218,,fallback
613810,CHN2015-06-0621162,,fallback
613811,CHN2015-06-0319687,,fallback
613812,CHN2016-01-0560250,,fallback
613813,CHN2017-00-2004220,,fallback
613827,,,fallback
613877,CHN2011-06-263621,F1315|F3170,fallback
613888,NL13-1785101,,fallback
613958,CHN13-01-914810,,fallback
613990,CHN12-03-111874,F439:2|F2857:2|F2978:2|F3015:2,structured
613992,,,fallback
614000,,,fallback
614009,,,fallback
614024,,,fallback
614049,B2011-6332980,F993,fallback
614054,CHN2015-06-0173118,,empty
614056,NL12-1755876,F2521|F2592,fallback
614059,CHN2016-06-0126937,,empty
614070,DV0674-17-400,,fallback
614080,NL2015-1892762,,fallback
614081,NL14-1338268,,fallback
614082,B2011-6331092,,fallback
614083,B2011-6331065,,fallback
614084,B08-6177576,,fallback
614093,CHN2017-06-0370282,,fallback
614097,CHN2015-06-0319805,,empty
614103,CHN2016-06-0182993,,fallback
614111,CHN2016-06-0126943,,fallback
614112,,,empty
614113,,,fallback
614119,NL2015-1892762,,fallback
614120,NL14-1338268,,fallback
614126,B2011-6331092,,fallback
614127,B2011-6331065,,fallback
614138,B14-6072401,,fallback
614156,B12-6023431,,fallback
614164,B12-6023352,,fallback
614165,B12-6023273,,fallback
614172,B09-6114940,F1643,fallback
614173,B09-6111640,F1641,fallback
614175,B08-6177576,,fallback
614239,CHN2014-06-020678,,fallback
614240,CHN2016-06-0127000,,fallback
614241,CHN2016-06-0126951,,fallback
614245,B2011-6140278,F991,fallback
614246,CHN2014-06-020605,,fallback
614248,,,fallback
614249,CHN2014-06-020601,,fallback
614253,IF2016-88888,,empty
614274,,,fallback
614297,,,fallback
614326,,F197|F3116|F3241,fallback
614346,,F3116,fallback
614372,B12-6321994,,fallback
614404,B13-3047686,F542|F890,fallback
614409,B13-3047699,,fallback
614410,B12-3070040,F331:2|F774:2|F539:3|F3121:3|F2470:4|F2486:4|F2501:4|F2619:4,structured
614412,,,fallback
614481,B2014-3027025,,fallback
614489,B16-1146002,,fallback
614490,B15-6178447,,fallback
614491,B15-6034008,,fallback
614492,B11-6103169,F780:1|F1348:1,structured
614675,DV10-01769-1341,,fallback
614764,,,fallback
614812,B13-3080124,,fallback
614865,,,fallback
614952,,F2155|F3269|F573,fallback
615001,B16-4136960,F1109:2|F1460:2|F1607:2|F1608:2,structured
615004,B16-4136954,F758:2|F935:2|F1723:2|F1912:2,structured
615011,B17-2076309,F1209|F1913|F2736|F2738|F2762|F3116|F863,fallback
615015,B17-2076301,F1913|F2410|F2472|F2483|F2604|F2666|F2737|F3116|F474|F510|F711|F878,fallback
615025,B16-4108354,F1109:2|F1460:2|F1607:2|F1608:2,structured
615029,B16-4136953,F758:2|F935:2|F1723:2|F1912:2,structured
615042,DV02412-13-0503,,fallback
615043,,F1906,fallback
615045,DV02412-14-1369,F5141:2|F5202:2|F5312:2|F6167:2,structured
615046,DV02412-14-1403,F5141:2|F5202:2|F5312:2|F6167:2,structured
615059,DV02412-15-0235,F5296:2|F5200:3|F5299:3|F5943:3|F6237:3,structured
615060,DV02412-15-0336,F5202:2|F5299:2|F6167:2|F6237:2,structured
615067,DV02412-16-0049,F5200:2|F5205:2|F5207:2|F5238:2,structured
615068,DV02412-16-0059,F5237:1|F3843:2|F5055:2,structured
615069,DV02412-16-0109,F5108:2|F5109:2|F5203:2|F5206:2,structured
615071,DV02412-16-0113,F5300:2|F5301:2,structured
615072,DV02412-16-0143,F5200:2|F5299:2|F5943:2|F6237:2,structured
615073,DV06744-14-0288,F5236:2|F5339:2,structured
615102,B17-2076357,F2410|F2472|F2604|F2666|F2697|F2737|F2765|F2988|F3209|F3212|F864,fallback
615106,B17-2076151,F1209|F1913|F2410|F2604|F3116|F3212,fallback
615113,B17-2076425,F2326|F2410|F2483|F2666|F2737|F515|F699,fallback
615125,B17-2076318,F2684|F2685|F3128|F3269|F379|F573|F755|F764,fallback
615128,B17-2076396,F1056|F168,fallback
615137,B17-2076392,F1209|F1913|F2483|F2666|F2738|F3116,fallback
615140,B17-2076302,F1913|F2410|F2472|F2483|F2604|F2666|F2737|F3116|F474|F510|F711|F878,fallback
615169,B17-2076325,F2410|F2472|F2483|F2666|F2737|F3209|F515|F699|F864,fallback
615174,B17-2076408,F1209|F2946|F515|F699,fallback
615177,B17-2076122,F2738,fallback
615178,B17-2076370,F1209|F1913|F2410|F2604|F3116|F3212,fallback
